원본,요약,카테고리,요약 재분류
 다양한 먹거리 체험이 있었음합니다.,- 행사 개최 감사,행사평가,0
" 확실히 예전에 비해 많이 트렌드 해졌다고 느낀다.
기획부분에서 아쉽다고 느낌-> 비슷비슷하달까… 근데 트렌드 면에서는 잘 짚었다고 봄
나중에는 ""차별화""를 둔 축제 기획을 원한다.
비슷해지는 것보다 눈에 띄는게 좋으니까",- 가수,행사평가,1
"5시 15분 공연 관광하고싶었으나
안내 미흡으로 위치만 찾아다니다 관광하지 못했다.
옷 만들기도 5시에 소진되어 하지 못했고
푸드트럭이 부족해보임.",- 가족·친척 어울림 행사,행사평가,2
가수 ,- 가족 참여 많음 → 체험부스 확대,가족체험공간,3
"가수 출연가수 너무 부실함
정말 멀리서 걸어왔는데 가수가 저게 뭔가요?
양심 있나요?",- 다양한 먹거리 체험,프로그램·먹거리,4
가족or친척 함께 어울릴 수 있는 행사,"- 출연 가수 부실
- 기대 이하
- 멀리서 관객 실망
- 양심 의문",행사평가,5
가족단위 참여가 많기 때문에 체험부스 늘렸으면 좋겠다,"- 교통편
- 주차시설",교통주차안내,6
개최해주셔서 감사합니다.,- 공연 관람 의자 시설 보완,행사시설환경,7
공연관람시 의자시설을 더욱 보완해주시면 좋을것 같습니다.,"- 트렌드 향상  
- 기획 획일화 아쉬움  
- 트렌드 포착은 양호  
- 차별화·눈에 띄는 축제 기획 희망",행사평가,8
공장에서 진행된다고 하지만 많은 인원이 참여하기엔 다소 협소하다.,"- 5시 15분 공연 관람 실패
- 안내 미흡 위치만 탐색
- 의상 제작 5시 품절
- 푸드트럭 부족",행사시설환경,9
교통이 편이한 곳에서 했으면 좋겠어요.,- 교통 편리한 장소,교통주차안내,10
"교통편, 주차시설","- 공장 진행
- 공간 협소
- 대규모 참여 불가",행사시설환경,11
"구미에는 어린이 가족이 많은데 어린이들과 함께 체험가능한 프로그램이
더 많았으면 좋겠습니다.","- 구미 자녀동반 가족 많음
- 체험프로그램 부족",가족체험공간,12
"구미에는 자녀동반 가족이 많은데 
그에비해 체험프로그램 부족.","- 구미
- 어린이 가족 다수
- 체험 프로그램 확대 필요",가족체험공간,13
기상악화시 대비 필요해보임 (당일 비로 인해 매우 불편),- 우천 대비 실내 프로그램 확대,프로그램·먹거리,14
날씨(우천시) 대비 실내프로그램 좀 더 많았으면 좋겠습니다.,"- 기상악화 대비 필요
- 당일 비 불편",행사시설환경,15
"날씨에 대한, 또는 주차 및 ??? 자세한 안내가 필요.",- 남녀노소 공용 즐길거리 제작,행사시설환경,16
남녀노소 같이 즐길수 있는 즐길거리를 좀 만드셨으면 좋겠습니다.,"- 날씨 안내
- 주차 안내
- 기타 세부 안내",교통주차안내,17
너무 좋았음,- 좋음,행사평가,18
너무좋아요,- 놀이시설 추가 필요,행사시설환경,19
