Sheet count: 1
Sheet names: ['Sheet1']

=== Sheet: Sheet1 ===
  Rows: 391, Cols: 23
  Merged cells: ['P163:Q163', 'L91:M91', 'A166:A169', 'C144:C146', 'N91:O91', 'A286:I286', 'J19:K19', 'L19:M19', 'A30:A33', 'H55:I55', 'D90:Q90', 'A370:A373', 'A281:A284', 'A330:A333', 'A388:A391', 'A366:A369', 'A269:I269', 'A358:B360', 'D108:W108', 'T127:U127', 'V127:W127', 'D377:E377', 'A98:A101', 'C18:C20', 'C322:C324', 'P359:Q359', 'A76:A79', 'A90:B92', 'A376:B378', 'A8:A11', 'L109:M109', 'A126:B128', 'D36:S36', 'H37:I37', 'A361:B361', 'D127:E127', 'A22:A25', 'A308:A311', 'A143:U143', 'A102:A105', 'J305:K305', 'F341:G341', 'D73:E73', 'A111:B111', 'V109:W109', 'A228:F228', 'T145:U145', 'J163:K163', 'L145:M145', 'F359:G359', 'N145:O145', 'C36:C38', 'A39:B39', 'H91:I91', 'A334:A337', 'A94:A97', 'J73:K73', 'D19:E19', 'A304:B306', 'D305:E305', 'F19:G19', 'A362:A365', 'R19:S19', 'A36:B38', 'D359:E359', 'H341:I341', 'A174:A177', 'A12:A15', 'C376:C378', 'R359:S359', 'A379:B379', 'A162:B164', 'L163:M163', 'A316:A319', 'A120:A123', 'C54:C56', 'F109:G109', 'A272:B272', 'D126:W126', 'H109:I109', 'A298:A301', 'B180:B182', 'A129:B129', 'R109:S109', 'A161:U161', 'D37:E37', 'T109:U109', 'A307:B307', 'A380:A383', 'H19:I19', 'P377:Q377', 'C340:C342', 'P37:Q37', 'A156:A159', 'R377:S377', 'D144:U144', 'D323:E323', 'F323:G323', 'A165:B165', 'A322:B324', 'C90:C92', 'A93:B93', 'A130:A133', 'P127:Q127', 'H145:I145', 'R127:S127', 'J145:K145', 'A344:A347', 'A58:A61', 'N55:O55', 'A40:A43', 'P55:Q55', 'D54:Q54', 'F73:G73', 'L359:M359', 'A325:B325', 'C72:C74', 'A352:A355', 'C358:C360', 'A343:B343', 'D322:G322', 'A179:F179', 'A84:A87', 'F305:G305', 'A66:A69', 'A229:A231', 'D341:E341', 'C229:F229', 'H73:I73', 'N341:O341', 'A357:S357', 'P341:Q341', 'A75:B75', 'A108:B110', 'D163:E163', 'C108:C110', 'A80:A83', 'F163:G163', 'A273:A276', 'H163:I163', 'A3:B3', 'A326:A329', 'D340:Q340', 'A384:A387', 'D91:E91', 'R163:S163', 'A1:D1', 'F91:G91', 'A21:B21', 'T163:U163', 'P91:Q91', 'A57:B57', 'A26:A29', 'N19:O19', 'A134:A137', 'P19:Q19', 'J91:K91', 'A144:B146', 'B229:B231', 'A4:A7', 'A62:A65', 'A44:A47', 'C162:C164', 'D55:E55', 'A147:B147', 'A53:Q53', 'A72:B74', 'A375:S375', 'N359:O359', 'A290:A293', 'F377:G377', 'H377:I377', 'A48:A51', 'D109:E109', 'A170:A173', 'A321:G321', 'A148:A151', 'N109:O109', 'D18:S18', 'P109:Q109', 'A17:S17', 'J37:K37', 'A138:A141', 'L377:M377', 'L37:M37', 'A35:S35', 'F127:G127', 'N37:O37', 'N377:O377', 'A107:W107', 'H127:I127', 'J127:K127', 'A339:Q339', 'D358:S358', 'F55:G55', 'D72:O72', 'A180:A182', 'D162:U162', 'A340:B342', 'A54:B56', 'A71:O71', 'R37:S37', 'L127:M127', 'D145:E145', 'A270:B271', 'N127:O127', 'F145:G145', 'A277:A280', 'J55:K55', 'H359:I359', 'P145:Q145', 'L55:M55', 'C304:C306', 'R145:S145', 'A89:Q89', 'J359:K359', 'A2:B2', 'L73:M73', 'C126:C128', 'N73:O73', 'H305:I305', 'A18:B20', 'A116:A119', 'A294:A297', 'D304:K304', 'J109:K109', 'A303:K303', 'A112:A115', 'A312:A315', 'F37:G37', 'C180:F180', 'A348:A351', 'J341:K341', 'L341:M341', 'A152:A155', 'A287:B288', 'J377:K377', 'A125:W125', 'A289:B289', 'N163:O163', 'D376:S376']
  R1: ['응답자 일반현황', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R2: ['', '', '응답자 수', '비율', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R3: ['전 체', '', '1000.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R4: ['소속 대학', '울산대학교', '521.0', '0.521', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R5: ['', '울산과학대학교', '256.0', '0.256', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R6: ['', '춘해보건대학교', '130.0', '0.13', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R7: ['', '울산과학기술원', '93.0', '0.09300000000000001', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R8: ['학년', '1학년', '233.0', '0.233', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R9: ['', '2학년', '320.0', '0.32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R10: ['', '3학년', '292.0', '0.292', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R11: ['', '4학년 이상', '155.0', '0.155', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R12: ['전공', '인문사회계열', '192.0', '0.192', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R13: ['', '자연과학계열', '325.0', '0.325', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R14: ['', '공학계열', '444.0', '0.444', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R15: ['', '예체능계열', '39.0', '0.039', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R16: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R17: ['일자리 정보 탐색 활용 경로(중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R18: ['', '', '구 분', '일자리 정보 탐색 활용 경로(중복응답)', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R19: ['', '', '', '학교 취업지원센터/커리어센터', '', '온라인 채용사이트', '', '기업 홈페이지 직접 방문', '', 'SNS', '', '지인 소개/추천', '', '공공기관 취업지원센터', '', '취업 카페/커뮤니티', '', '기타', '', '', '', '', '']
  R20: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '']
  R21: ['전 체', '', '1000.0', '400.0', '0.4', '717.0', '0.7170000000000001', '255.0', '0.255', '213.0', '0.213', '161.0', '0.161', '181.0', '0.18099999999999997', '116.0', '0.11600000000000002', '5.0', '0.005', '', '', '', '']
  R22: ['소속 대학', '울산대학교', '521.0', '207.0', '0.39731285988483683', '376.0', '0.7216890595009597', '162.0', '0.31094049904030713', '132.0', '0.2533589251439539', '71.0', '0.1362763915547025', '90.0', '0.1727447216890595', '54.0', '0.1036468330134357', '1.0', '0.0019193857965451055', '', '', '', '']
  R23: ['', '울산과학대학교', '256.0', '103.0', '0.40234375', '184.0', '0.71875', '57.0', '0.22265625', '50.0', '0.1953125', '43.0', '0.16796875', '49.0', '0.19140625', '36.0', '0.140625', '1.0', '0.00390625', '', '', '', '']
  R24: ['', '춘해보건대학교', '130.0', '52.0', '0.4', '95.0', '0.7307692307692306', '22.0', '0.16923076923076924', '29.0', '0.2230769230769231', '30.0', '0.23076923076923075', '33.0', '0.25384615384615383', '26.0', '0.2', '2.0', '0.015384615384615385', '', '', '', '']
  R25: ['', '울산과학기술원', '93.0', '38.0', '0.4086021505376344', '62.0', '0.6666666666666665', '14.0', '0.15053763440860216', '2.0', '0.021505376344086023', '17.0', '0.1827956989247312', '9.0', '0.0967741935483871', '', '', '1.0', '0.010752688172043012', '', '', '', '']
